id,orders
Brno_1_2024-03-16,9609
Brno_1_2024-03-17,8324
Brno_1_2024-03-18,8312
Brno_1_2024-03-19,8431
Brno_1_2024-03-20,8478
Brno_1_2024-03-21,8774
Brno_1_2024-03-22,10380
Brno_1_2024-03-23,9576
Brno_1_2024-03-24,8319
Brno_1_2024-03-25,8261
Brno_1_2024-03-26,8254
Brno_1_2024-03-27,8326
Brno_1_2024-03-28,8886
Brno_1_2024-03-29,9485
Brno_1_2024-03-30,8708
Brno_1_2024-03-31,7333
Brno_1_2024-04-01,6569
Brno_1_2024-04-02,8260
Brno_1_2024-04-03,8315
Brno_1_2024-04-04,8734
Brno_1_2024-04-05,10314
Brno_1_2024-04-06,9634
Brno_1_2024-04-07,8273
Brno_1_2024-04-08,8345
Brno_1_2024-04-09,8459
Brno_1_2024-04-10,8549
Brno_1_2024-04-11,8928
Brno_1_2024-04-12,10411
Brno_1_2024-04-13,9686
Brno_1_2024-04-14,8542
Brno_1_2024-04-15,8486
Brno_1_2024-04-16,8580
Brno_1_2024-04-17,8498
Brno_1_2024-04-18,8908
Brno_1_2024-04-19,10416
Brno_1_2024-04-20,9653
Brno_1_2024-04-21,8378
Brno_1_2024-04-22,8413
Brno_1_2024-04-23,8495
Brno_1_2024-04-24,8519
Brno_1_2024-04-25,8783
Brno_1_2024-04-26,10275
Brno_1_2024-04-27,9542
Brno_1_2024-04-28,8171
Brno_1_2024-04-29,8239
Brno_1_2024-04-30,8445
Brno_1_2024-05-01,6782
Brno_1_2024-05-02,8568
Brno_1_2024-05-03,10292
Brno_1_2024-05-04,9565
Brno_1_2024-05-05,8132
Brno_1_2024-05-06,8207
Brno_1_2024-05-07,8448
Brno_1_2024-05-08,7837
Brno_1_2024-05-09,8660
Brno_1_2024-05-10,10277
Brno_1_2024-05-11,9603
Brno_1_2024-05-12,8343
Brno_1_2024-05-13,8387
Brno_1_2024-05-14,8476
Brno_1_2024-05-15,8491
Munich_1_2024-03-16,6717
Munich_1_2024-03-18,5746
Munich_1_2024-03-19,4818
Munich_1_2024-03-20,4559
Munich_1_2024-03-21,4611
Munich_1_2024-03-22,6587
Munich_1_2024-03-23,6762
Munich_1_2024-03-25,5682
Munich_1_2024-03-26,4779
Munich_1_2024-03-27,4496
Munich_1_2024-03-28,4604
Munich_1_2024-03-30,6704
Munich_1_2024-04-02,5340
Munich_1_2024-04-03,5012
Munich_1_2024-04-04,5169
Munich_1_2024-04-05,6739
Munich_1_2024-04-06,6906
Munich_1_2024-04-08,5683
Munich_1_2024-04-09,5535
Munich_1_2024-04-10,5273
Munich_1_2024-04-11,5246
Munich_1_2024-04-12,6797
Munich_1_2024-04-13,6999
Munich_1_2024-04-15,5982
Munich_1_2024-04-16,5284
Munich_1_2024-04-17,4904
Munich_1_2024-04-18,4953
Munich_1_2024-04-19,6809
Munich_1_2024-04-20,6972
Munich_1_2024-04-22,5969
Munich_1_2024-04-23,4989
Munich_1_2024-04-24,4704
Munich_1_2024-04-25,4753
Munich_1_2024-04-26,6594
Munich_1_2024-04-27,6915
Munich_1_2024-04-29,5926
Munich_1_2024-04-30,5023
Munich_1_2024-05-02,4758
Munich_1_2024-05-03,6492
Munich_1_2024-05-04,6731
Munich_1_2024-05-06,5586
Munich_1_2024-05-07,4674
Munich_1_2024-05-08,4401
Munich_1_2024-05-10,6586
Munich_1_2024-05-11,6846
Munich_1_2024-05-13,5649
Munich_1_2024-05-14,4745
Munich_1_2024-05-15,4490
Frankfurt_1_2024-03-16,2060
Frankfurt_1_2024-03-18,1821
Frankfurt_1_2024-03-19,1640
Frankfurt_1_2024-03-20,1595
Frankfurt_1_2024-03-21,1619
Frankfurt_1_2024-03-22,1956
Frankfurt_1_2024-03-23,2048
Frankfurt_1_2024-03-25,1793
Frankfurt_1_2024-03-26,1607
Frankfurt_1_2024-03-27,1566
Frankfurt_1_2024-03-28,1631
Frankfurt_1_2024-03-30,2036
Frankfurt_1_2024-04-02,1688
Frankfurt_1_2024-04-03,1627
Frankfurt_1_2024-04-04,1631
Frankfurt_1_2024-04-05,1933
Frankfurt_1_2024-04-06,2070
Frankfurt_1_2024-04-08,1788
Frankfurt_1_2024-04-09,1673
Frankfurt_1_2024-04-10,1632
Frankfurt_1_2024-04-11,1683
Frankfurt_1_2024-04-12,1969
Frankfurt_1_2024-04-13,2105
Frankfurt_1_2024-04-15,1835
Frankfurt_1_2024-04-16,1688
Frankfurt_1_2024-04-17,1641
Frankfurt_1_2024-04-18,1674
Frankfurt_1_2024-04-19,1959
Frankfurt_1_2024-04-20,2092
Frankfurt_1_2024-04-22,1821
Frankfurt_1_2024-04-23,1640
Frankfurt_1_2024-04-24,1592
Frankfurt_1_2024-04-25,1620
Frankfurt_1_2024-04-26,1929
Frankfurt_1_2024-04-27,2056
Frankfurt_1_2024-04-29,1850
Frankfurt_1_2024-04-30,1696
Frankfurt_1_2024-05-02,1666
Frankfurt_1_2024-05-03,1953
Frankfurt_1_2024-05-04,2089
Frankfurt_1_2024-05-06,1822
Frankfurt_1_2024-05-07,1680
Frankfurt_1_2024-05-08,1626
Frankfurt_1_2024-05-10,1952
Frankfurt_1_2024-05-11,2094
Frankfurt_1_2024-05-13,1798
Frankfurt_1_2024-05-14,1650
Frankfurt_1_2024-05-15,1608
Budapest_1_2024-03-16,7261
Budapest_1_2024-03-17,6885
Budapest_1_2024-03-18,6895
Budapest_1_2024-03-19,6908
Budapest_1_2024-03-20,6856
Budapest_1_2024-03-21,7084
Budapest_1_2024-03-22,7392
Budapest_1_2024-03-23,7242
Budapest_1_2024-03-24,6798
Budapest_1_2024-03-25,6763
Budapest_1_2024-03-26,6651
Budapest_1_2024-03-27,6569
Budapest_1_2024-03-28,6946
Budapest_1_2024-03-30,7284
Budapest_1_2024-04-02,6912
Budapest_1_2024-04-03,6907
Budapest_1_2024-04-04,7070
Budapest_1_2024-04-05,7453
Budapest_1_2024-04-06,7325
Budapest_1_2024-04-07,6800
Budapest_1_2024-04-08,6556
Budapest_1_2024-04-09,6607
Budapest_1_2024-04-10,6609
Budapest_1_2024-04-11,6789
Budapest_1_2024-04-12,7338
Budapest_1_2024-04-13,7154
Budapest_1_2024-04-14,6603
Budapest_1_2024-04-15,6596
Budapest_1_2024-04-16,6502
Budapest_1_2024-04-17,6607
Budapest_1_2024-04-18,6763
Budapest_1_2024-04-19,7278
Budapest_1_2024-04-20,7053
Budapest_1_2024-04-21,6499
Budapest_1_2024-04-22,6492
Budapest_1_2024-04-23,6501
Budapest_1_2024-04-24,6478
Budapest_1_2024-04-25,6567
Budapest_1_2024-04-26,7144
Budapest_1_2024-04-27,6934
Budapest_1_2024-04-28,6380
Budapest_1_2024-04-29,6451
Budapest_1_2024-04-30,6481
Budapest_1_2024-05-02,6680
Budapest_1_2024-05-03,7172
Budapest_1_2024-05-04,6921
Budapest_1_2024-05-05,6389
Budapest_1_2024-05-06,6461
Budapest_1_2024-05-07,6432
Budapest_1_2024-05-08,6417
Budapest_1_2024-05-09,6559
Budapest_1_2024-05-10,7135
Budapest_1_2024-05-11,6914
Budapest_1_2024-05-12,6365
Budapest_1_2024-05-13,6425
Budapest_1_2024-05-14,6405
Budapest_1_2024-05-15,6353
Prague_1_2024-03-16,10585
Prague_1_2024-03-17,10060
Prague_1_2024-03-18,9795
Prague_1_2024-03-19,9484
Prague_1_2024-03-20,9448
Prague_1_2024-03-21,9655
Prague_1_2024-03-22,11216
Prague_1_2024-03-23,10451
Prague_1_2024-03-24,9898
Prague_1_2024-03-25,9659
Prague_1_2024-03-26,9260
Prague_1_2024-03-27,9346
Prague_1_2024-03-28,10432
Prague_1_2024-03-29,11162
Prague_1_2024-03-30,10245
Prague_1_2024-03-31,9496
Prague_1_2024-04-01,8580
Prague_1_2024-04-02,9650
Prague_1_2024-04-03,9683
Prague_1_2024-04-04,10020
Prague_1_2024-04-05,11498
Prague_1_2024-04-06,10704
Prague_1_2024-04-07,9996
Prague_1_2024-04-08,9878
Prague_1_2024-04-09,9761
Prague_1_2024-04-10,9801
Prague_1_2024-04-11,10130
Prague_1_2024-04-12,11637
Prague_1_2024-04-13,10801
Prague_1_2024-04-14,10200
Prague_1_2024-04-15,10012
Prague_1_2024-04-16,9732
Prague_1_2024-04-17,9771
Prague_1_2024-04-18,10059
Prague_1_2024-04-19,11537
Prague_1_2024-04-20,10758
Prague_1_2024-04-21,10089
Prague_1_2024-04-22,9916
Prague_1_2024-04-23,9603
Prague_1_2024-04-24,9592
Prague_1_2024-04-25,9836
Prague_1_2024-04-26,11356
Prague_1_2024-04-27,10510
Prague_1_2024-04-28,9968
Prague_1_2024-04-29,9906
Prague_1_2024-04-30,9931
Prague_1_2024-05-01,9076
Prague_1_2024-05-02,9795
Prague_1_2024-05-03,11527
Prague_1_2024-05-04,10628
Prague_1_2024-05-05,9888
Prague_1_2024-05-06,9760
Prague_1_2024-05-07,9911
Prague_1_2024-05-08,10165
Prague_1_2024-05-09,9830
Prague_1_2024-05-10,11526
Prague_1_2024-05-11,10654
Prague_1_2024-05-12,9966
Prague_1_2024-05-13,9661
Prague_1_2024-05-14,9463
Prague_1_2024-05-15,9487
Prague_2_2024-03-16,6482
Prague_2_2024-03-17,5925
Prague_2_2024-03-18,5710
