id,orders
Brno_1_2024-03-16,8826
Brno_1_2024-03-17,8298
Brno_1_2024-03-18,8053
Brno_1_2024-03-19,8071
Brno_1_2024-03-20,8198
Brno_1_2024-03-21,8315
Brno_1_2024-03-22,9403
Brno_1_2024-03-23,8733
Brno_1_2024-03-24,8097
Brno_1_2024-03-25,7897
Brno_1_2024-03-26,7849
Brno_1_2024-03-27,8128
Brno_1_2024-03-28,8739
Brno_1_2024-03-29,9423
Brno_1_2024-03-30,8783
Brno_1_2024-03-31,7842
Brno_1_2024-04-01,7072
Brno_1_2024-04-02,7933
Brno_1_2024-04-03,8224
Brno_1_2024-04-04,8384
Brno_1_2024-04-05,9495
Brno_1_2024-04-06,8399
Brno_1_2024-04-07,7945
Brno_1_2024-04-08,7502
Brno_1_2024-04-09,7476
Brno_1_2024-04-10,7951
Brno_1_2024-04-11,8264
Brno_1_2024-04-12,9655
Brno_1_2024-04-13,9053
Brno_1_2024-04-14,8007
Brno_1_2024-04-15,7778
Brno_1_2024-04-16,7938
Brno_1_2024-04-17,8074
Brno_1_2024-04-18,8365
Brno_1_2024-04-19,9557
Brno_1_2024-04-20,8759
Brno_1_2024-04-21,7933
Brno_1_2024-04-22,7975
Brno_1_2024-04-23,8013
Brno_1_2024-04-24,8304
Brno_1_2024-04-25,8361
Brno_1_2024-04-26,9566
Brno_1_2024-04-27,8800
Brno_1_2024-04-28,7774
Brno_1_2024-04-29,7815
Brno_1_2024-04-30,8080
Brno_1_2024-05-01,7680
Brno_1_2024-05-02,8038
Brno_1_2024-05-03,9368
Brno_1_2024-05-04,8544
Brno_1_2024-05-05,7819
Brno_1_2024-05-06,7848
Brno_1_2024-05-07,8494
Brno_1_2024-05-08,9215
Brno_1_2024-05-09,8576
Brno_1_2024-05-10,9739
Brno_1_2024-05-11,9010
Brno_1_2024-05-12,8061
Brno_1_2024-05-13,8190
Brno_1_2024-05-14,8027
Brno_1_2024-05-15,8319
Budapest_1_2024-03-16,6117
Budapest_1_2024-03-17,5615
Budapest_1_2024-03-18,5113
Budapest_1_2024-03-19,5749
Budapest_1_2024-03-20,5657
Budapest_1_2024-03-21,5907
Budapest_1_2024-03-22,6623
Budapest_1_2024-03-23,6151
Budapest_1_2024-03-24,5463
Budapest_1_2024-03-25,5473
Budapest_1_2024-03-26,5526
Budapest_1_2024-03-27,5576
Budapest_1_2024-03-28,5607
Budapest_1_2024-03-30,7014
Budapest_1_2024-04-02,2967
Budapest_1_2024-04-03,6736
Budapest_1_2024-04-04,6846
Budapest_1_2024-04-05,7435
Budapest_1_2024-04-06,6414
Budapest_1_2024-04-07,4841
Budapest_1_2024-04-08,3274
Budapest_1_2024-04-09,4719
Budapest_1_2024-04-10,5206
Budapest_1_2024-04-11,6088
