id,orders
Brno_1_2024-03-16,9043
Brno_1_2024-03-17,8418
Brno_1_2024-03-18,8171
Brno_1_2024-03-19,8252
Brno_1_2024-03-20,8306
Brno_1_2024-03-21,8408
Brno_1_2024-03-22,9538
Brno_1_2024-03-23,8944
Brno_1_2024-03-24,8214
Brno_1_2024-03-25,7954
Brno_1_2024-03-26,8054
Brno_1_2024-03-27,8274
Brno_1_2024-03-28,8894
Brno_1_2024-03-29,9468
Brno_1_2024-03-30,9072
Brno_1_2024-03-31,8086
Brno_1_2024-04-01,7252
Brno_1_2024-04-02,7677
Brno_1_2024-04-03,8110
Brno_1_2024-04-04,8394
Brno_1_2024-04-05,9746
Brno_1_2024-04-06,8356
Brno_1_2024-04-07,7656
Brno_1_2024-04-08,7485
Brno_1_2024-04-09,7679
Brno_1_2024-04-10,8033
Brno_1_2024-04-11,8348
Brno_1_2024-04-12,9732
Brno_1_2024-04-13,9212
Brno_1_2024-04-14,8080
Brno_1_2024-04-15,7880
Brno_1_2024-04-16,8138
Brno_1_2024-04-17,8272
Brno_1_2024-04-18,8463
Brno_1_2024-04-19,9659
Brno_1_2024-04-20,8893
Brno_1_2024-04-21,8046
Brno_1_2024-04-22,8082
Brno_1_2024-04-23,8202
Brno_1_2024-04-24,8418
Brno_1_2024-04-25,8507
Brno_1_2024-04-26,9666
Brno_1_2024-04-27,8931
Brno_1_2024-04-28,7850
Brno_1_2024-04-29,7876
Brno_1_2024-04-30,8376
Brno_1_2024-05-01,7744
Brno_1_2024-05-02,7969
Brno_1_2024-05-03,9430
Brno_1_2024-05-04,8622
Brno_1_2024-05-05,7858
Brno_1_2024-05-06,7824
Brno_1_2024-05-07,8498
Brno_1_2024-05-08,9360
Brno_1_2024-05-09,8572
Brno_1_2024-05-10,9786
Brno_1_2024-05-11,9048
Brno_1_2024-05-12,8142
Brno_1_2024-05-13,8253
Brno_1_2024-05-14,8235
Brno_1_2024-05-15,8440
Budapest_1_2024-03-16,6400
Budapest_1_2024-03-17,5730
Budapest_1_2024-03-18,5380
Budapest_1_2024-03-19,5946
Budapest_1_2024-03-20,5906
Budapest_1_2024-03-21,6114
Budapest_1_2024-03-22,6768
Budapest_1_2024-03-23,6398
Budapest_1_2024-03-24,5551
Budapest_1_2024-03-25,5597
Budapest_1_2024-03-26,5888
Budapest_1_2024-03-27,5952
Budapest_1_2024-03-28,5988
Budapest_1_2024-03-30,7040
Budapest_1_2024-04-02,3930
Budapest_1_2024-04-03,6714
Budapest_1_2024-04-04,6904
Budapest_1_2024-04-05,7438
Budapest_1_2024-04-06,6429
Budapest_1_2024-04-07,4692
Budapest_1_2024-04-08,3464
Budapest_1_2024-04-09,5084
Budapest_1_2024-04-10,5601
Budapest_1_2024-04-11,6201
Budapest_1_2024-04-12,6799
Budapest_1_2024-04-13,6722
Budapest_1_2024-04-14,5102
Budapest_1_2024-04-15,4164
Budapest_1_2024-04-16,6096
Budapest_1_2024-04-17,5727
Budapest_1_2024-04-18,6160
Budapest_1_2024-04-19,7000
Budapest_1_2024-04-20,6560
Budapest_1_2024-04-21,5474
Budapest_1_2024-04-22,5498
Budapest_1_2024-04-23,6156
Budapest_1_2024-04-24,6447
Budapest_1_2024-04-25,6544
Budapest_1_2024-04-26,7236
Budapest_1_2024-04-27,6852
Budapest_1_2024-04-28,5190
Budapest_1_2024-04-29,5164
Budapest_1_2024-04-30,6282
Budapest_1_2024-05-02,6470
Budapest_1_2024-05-03,7220
Budapest_1_2024-05-04,6838
Budapest_1_2024-05-05,5736
Budapest_1_2024-05-06,5714
Budapest_1_2024-05-07,6605
Budapest_1_2024-05-08,6664
Budapest_1_2024-05-09,6796
Budapest_1_2024-05-10,7472
Budapest_1_2024-05-11,7104
Budapest_1_2024-05-12,6112
Budapest_1_2024-05-13,6345
Budapest_1_2024-05-14,6696
Budapest_1_2024-05-15,6554
Frankfurt_1_2024-03-16,1545
Frankfurt_1_2024-03-18,1222
Frankfurt_1_2024-03-19,1309
Frankfurt_1_2024-03-20,1245
Frankfurt_1_2024-03-21,1209
Frankfurt_1_2024-03-22,1557
Frankfurt_1_2024-03-23,1710
Frankfurt_1_2024-03-25,1396
Frankfurt_1_2024-03-26,1442
Frankfurt_1_2024-03-27,1403
Frankfurt_1_2024-03-28,1942
Frankfurt_1_2024-03-30,1874
Frankfurt_1_2024-04-02,921
Frankfurt_1_2024-04-03,879
Frankfurt_1_2024-04-04,1102
Frankfurt_1_2024-04-05,1402
Frankfurt_1_2024-04-06,1046
Frankfurt_1_2024-04-08,976
Frankfurt_1_2024-04-09,1103
Frankfurt_1_2024-04-10,1214
Frankfurt_1_2024-04-11,1326
Frankfurt_1_2024-04-12,1614
Frankfurt_1_2024-04-13,1748
Frankfurt_1_2024-04-15,1154
Frankfurt_1_2024-04-16,1359
Frankfurt_1_2024-04-17,1294
Frankfurt_1_2024-04-18,1277
